year,fips,population,per_income,employment_total
1978,32000,719.345,10045,432.318
1979,32000,765.121,10945,467.774
1980,32000,810.215,11951,488.628
1969,32001,10.498,3354,4.024
1970,32001,10.635,4008,4.311
1971,32001,11.157,4441,4.504
1972,32001,11.625,5103,4.817
1973,32001,11.85,5875,5.149
1974,32001,11.924,5944,5.137
1975,32001,11.987,5816,5.022
1976,32001,11.96,6505,5.382
1977,32001,12.131,7121,5.584
1978,32001,12.771,7885,6.047
1979,32001,13.571,8283,6.215
1980,32001,13.917,9563,6.568
1969,32003,267.479,4762,126.124
1970,32003,276.079,5176,134.095
1971,32003,293.008,5402,138.801
1972,32003,307.426,5684,145.742
1973,32003,319.399,6212,160.282
1974,32003,336.93,6594,168.726
1975,32003,351.339,7160,174.218
1976,32003,369.529,7750,186.546
1977,32003,389.965,8453,204.806
1978,32003,412.913,9590,228.609
1979,32003,441.358,10495,251.535
1980,32003,469.185,11423,265.076
1969,32005,6.674,6630,7.538
1970,32005,7.008,7462,8.111
1971,32005,7.753,7915,8.771
1972,32005,8.777,8342,9.639
1973,32005,10.119,8796,10.887
1974,32005,11.131,9438,11.717
1975,32005,12.069,9658,12.157
1976,32005,13.097,10499,12.97
1977,32005,14.324,11457,14.516
1978,32005,16.072,13129,17.503
1979,32005,18.391,13171,17.596
1980,32005,19.487,14462,18.644
1969,32007,13.979,4314,6.914
1970,32007,13.932,4672,6.953
1971,32007,13.938,5209,7.355
1972,32007,15.107,5560,7.764
1973,32007,15.469,6136,8.211
1974,32007,15.707,6173,8.337
1975,32007,15.574,6724,8.19
1976,32007,15.776,7272,8.563
1977,32007,15.508,8241,9.074
1978,32007,15.839,9085,9.539
1979,32007,16.054,10088,9.801
1980,32007,17.55,11324,10.803
1969,32009,0.585,4193,0.338
1970,32009,0.623,3995,0.35
1971,32009,0.591,4481,0.329
1972,32009,0.572,5096,0.297
1973,32009,0.662,5281,0.308
1974,32009,0.668,5844,0.332
1975,32009,0.675,6326,0.324
1976,32009,0.68,6969,0.356
1977,32009,0.683,6861,0.363
1978,32009,0.707,10300,0.37
1979,32009,0.755,10023,0.334
1980,32009,0.837,14357,0.361
1969,32011,0.931,6218,0.645
1970,32011,0.939,5335,0.552
1971,32011,0.915,5878,0.551
1972,32011,0.89,7167,0.544
1973,32011,1.034,7134,0.54
1974,32011,1.059,6941,0.574
1975,32011,1.087,7377,0.607
1976,32011,1.111,7882,0.649
1977,32011,1.133,8448,0.707
1978,32011,0.933,11180,0.815
1979,32011,1.013,11806,0.891
1980,32011,1.219,12103,0.94
1969,32013,6.452,4008,3.28
1970,32013,6.362,4480,3.259
1971,32013,6.422,4500,3.309
1972,32013,6.623,4810,3.402
1973,32013,6.791,5593,3.55
1974,32013,6.981,5959,3.982
1975,32013,7.363,6376,3.872
1976,32013,7.415,6890,4.132
1977,32013,7.595,7791,4.313
1978,32013,7.946,8385,4.762
1979,32013,8.647,9243,5.027
1980,32013,9.671,11004,5.649
1969,32015,2.648,3983,1.243
1970,32015,2.654,4318,1.301
1971,32015,2.623,4707,1.365
1972,32015,2.675,5305,1.353
1973,32015,2.705,6095,1.433
1974,32015,2.772,6850,1.611
1975,32015,3.014,7004,1.67
1976,32015,3.219,7019,1.683
1977,32015,3.295,7459,1.706
1978,32015,3.46,8398,1.988
1979,32015,3.614,9460,2.165
1980,32015,4.2,11355,2.495
1969,32017,2.554,3258,0.955
1970,32017,2.506,3660,0.996
1971,32017,2.381,4090,0.964
1972,32017,2.337,4406,0.98
1973,32017,2.387,4800,0.988
1974,32017,2.528,5451,1.164
1975,32017,2.754,5463,1.207
1976,32017,2.914,5342,1.16
1977,32017,3.006,6097,1.309
1978,32017,3.434,6485,1.491
1979,32017,3.616,6664,1.519
1980,32017,3.757,8469,1.815
1969,32019,8.161,4202,2.936
1970,32019,8.421,4747,3.148
1971,32019,9.285,4910,3.221
1972,32019,9.669,5244,3.211
1973,32019,10.057,6111,3.395
1974,32019,10.234,6550,3.481
1975,32019,10.382,7244,3.526
1976,32019,10.529,7939,3.591
1977,32019,10.805,8724,3.835
1978,32019,11.291,9682,3.863
1979,32019,12.365,9809,4.082
1980,32019,13.744,11230,4.432
1969,32021,7.15,4288,3.33
1970,32021,6.943,4679,3.136
1971,32021,6.632,5451,2.966
1972,32021,6.93,6200,3.302
1973,32021,7,6184,3.179
1974,32021,6.986,5899,2.799
1975,32021,6.797,6470,2.661
1976,32021,6.545,6764,2.572
1977,32021,6.067,7851,2.682
1978,32021,5.94,8872,2.758
1979,32021,6.115,9333,2.742
1980,32021,6.196,9872,2.903
1969,32023,5.549,5271,8.957
1970,32023,5.461,5318,7.15
1971,32023,4.918,6458,6.858
1972,32023,5.011,6856,6.058
1973,32023,4.958,7603,5.686
1974,32023,5.163,7982,5.698
1975,32023,5.459,8638,5.816
1976,32023,5.755,9082,5.908
1977,32023,5.857,10191,5.944
1978,32023,7.443,9485,6.411
1979,32023,8.169,9754,6.776
1980,32023,9.485,11261,7.925
1969,32027,2.687,4655,1.217
1970,32027,2.657,5084,1.277
1971,32027,2.618,5473,1.242
1972,32027,2.682,5811,1.258
1973,32027,2.6,7028,1.261
1974,32027,2.608,6420,1.316
1975,32027,2.825,7067,1.354
1976,32027,2.911,7846,1.437
1977,32027,2.991,6882,1.426
1978,32027,3.065,7880,1.563
1979,32027,3.106,7892,1.535
1980,32027,3.449,10031,1.609
1969,32029,0.682,4563,0.365
1970,32029,0.696,5134,0.409
1971,32029,0.677,5679,0.386
1972,32029,0.752,5751,0.387
1973,32029,0.855,6050,0.454
1974,32029,0.9,6458,0.479
1975,32029,0.947,7030,0.493
1976,32029,0.989,7648,0.513
1977,32029,1.03,9031,0.577
1978,32029,1.134,10227,0.668
1979,32029,1.322,11408,0.789
1980,32029,1.534,12202,0.892
1969,32031,118.399,5026,63.976
1970,32031,122.142,5475,68.404
1971,32031,128.557,5875,73.007
1972,32031,135.394,6259,76.869
1973,32031,140.973,6777,83.023
1974,32031,147.406,7151,85.219
1975,32031,152.162,7880,88.607
1976,32031,158.681,8732,96.109
1977,32031,167.765,9749,107.467
1978,32031,177.56,11409,124.216
1979,32031,187.189,12559,134.067
1980,32031,195.372,13513,135.104
1969,32033,10.044,3618,4.223
1970,32033,10.124,4086,4.499
1971,32033,10.075,4359,4.467
1972,32033,10.275,4829,4.554
1973,32033,9.893,5264,4.55
1974,32033,9.908,5632,4.596
1975,32033,9.929,6092,4.245
1976,32033,9.618,5926,3.604
1977,32033,8.648,7393,4.02
1978,32033,8.865,7764,3.877
1979,32033,8.054,8345,3.619
1980,32033,8.289,10032,4.052
1969,32510,15.528,4571,7.636
1970,32510,16.041,5367,8.194
1971,32510,18.439,5655,9.095
1972,32510,19.991,6107,9.86
1973,32510,22.158,6418,11.152
1974,32510,23.808,6856,12.036
1975,32510,25.484,7433,12.528
1976,32510,26.094,8459,13.82
1977,32510,27.331,9374,15.384
1978,32510,29.972,10398,17.838
1979,32510,31.782,11093,19.081
1980,32510,32.323,12310,19.36
1969,33000,724,3842,334.07
1970,33000,741.932,3997,333.695
1971,33000,762.173,4225,336.311
1972,33000,781.699,4557,349.678
1973,33000,801.824,5005,374.038
1974,33000,817.073,5406,380.712
1975,33000,830.025,5786,370.436
1976,33000,847.025,6418,393.755
1977,33000,871.86,7050,418.419
1978,33000,893.974,7932,445.596
1979,33000,911.893,8896,467.512
1980,33000,924.25,10039,481.61
1969,33001,31.636,3845,16.021
1970,33001,32.562,4002,16.064
1971,33001,33.579,4348,16.232
1972,33001,34.397,4699,17.218
1973,33001,35.426,5172,18.372
1974,33001,36.439,5571,18.588
1975,33001,36.982,6019,17.853
1976,33001,38.138,6593,18.816
1977,33001,39.25,7218,20.069
1978,33001,41.443,7896,21.208
1979,33001,42.802,8729,22.253
1980,33001,42.914,9895,22.924
1969,33003,18.029,3945,8.663
1970,33003,18.563,4036,8.279
1971,33003,18.672,4560,8.779
1972,33003,20.429,4742,9.856
1973,33003,21.229,5226,10.631
1974,33003,22.202,5519,10.819
1975,33003,23.043,5865,10.834
1976,33003,23.737,6609,11.627
1977,33003,25.371,7074,12.649
1978,33003,26.733,7697,13.427
1979,33003,27.452,8534,13.978
1980,33003,28.018,9559,14.272
1969,33005,51.198,3906,23.181
1970,33005,52.564,4048,22.902
1971,33005,53.575,4262,23.028
1972,33005,54.919,4565,23.981
1973,33005,56.044,5053,26.124
1974,33005,57.24,5382,26.227
1975,33005,58.09,5606,24.861
1976,33005,58.715,6139,25.899
1977,33005,59.762,6681,27.243
1978,33005,61.134,7425,28.311
1979,33005,62.168,8261,29.205
1980,33005,62.252,9309,30.075
1969,33007,34.371,3062,15.216
1970,33007,34.262,3248,14.435
1971,33007,34.094,3488,14.405
1972,33007,34.445,3827,14.923
1973,33007,34.69,4209,15.366
1974,33007,34.718,4752,15.843
1975,33007,35.414,5061,15.366
1976,33007,35.126,5777,16.174
1977,33007,35.008,6289,16.353
1978,33007,35.458,6831,16.051
1979,33007,35.024,7558,15.604
1980,33007,35.034,8455,16.01
1969,33009,54.15,3614,27.745
1970,33009,55.145,3859,27.464
1971,33009,56.393,4073,27.695
1972,33009,57.985,4392,29.338
1973,33009,59.945,4758,30.755
1974,33009,59.354,5248,31.357
1975,33009,60.692,5483,30.582
1976,33009,61.678,6074,32.081
1977,33009,63.428,6497,33.859
1978,33009,63.819,7211,35.078
1979,33009,64.998,7928,36.384
1980,33009,65.89,8717,37.376
1969,33011,221.149,4111,115.662
1970,33011,226.39,4245,115.787
1971,33011,237.461,4328,114.427
1972,33011,235.887,4748,115.341
1973,33011,239.589,5251,122.872
1974,33011,243.605,5686,125.196
1975,33011,248.215,6080,121.735
1976,33011,255.826,6718,129.826
1977,33011,262.922,7475,137.799
1978,33011,268.671,8559,147.386
1979,33011,275.208,9595,155.08
1980,33011,278.189,10932,159.785
1969,33013,79.699,3746,37.103
1970,33013,81.28,3992,37.205
1971,33013,83.088,4290,37.891
1972,33013,86.713,4553,40.027
1973,33013,88.614,5000,42.331
1974,33013,89.21,5519,43.779
1975,33013,90.217,5908,42.76
1976,33013,90.601,6574,45.176
1977,33013,92.945,7157,47.598
1978,33013,95.045,7977,50.268
1979,33013,96.499,8877,52.312
1980,33013,98.538,9748,53.962
1969,33015,133.505,3968,48.173
1970,33015,139.616,4101,50.086
1971,33015,142.56,4490,52.895
1972,33015,150.029,4812,55.646
1973,33015,155.51,5264,60.601
1974,33015,161.185,5591,62.032
1975,33015,163.774,6046,61.486
1976,33015,168.701,6670,66.945
1977,33015,175.58,7307,72.493
1978,33015,182.864,8142,80.132
1979,33015,187.524,9235,86.384
1980,33015,191.37,10574,90.353
1969,33017,69.594,3553,30.733
1970,33017,70.503,3663,30.413
1971,33017,71.133,3828,29.704
1972,33017,75.058,3987,31.298
1973,33017,78.131,4294,34.17
1974,33017,80.041,4531,33.912
1975,33017,79.741,4926,31.997
1976,33017,80.46,5572,34.055
1977,33017,83.09,6150,36.35
1978,33017,83.864,7083,38.854
1979,33017,84.777,8045,40.5
1980,33017,85.934,9009,40.73
1969,33019,30.669,3362,11.573
1970,33019,31.047,3451,11.06
1971,33019,31.618,3652,11.255
1972,33019,31.837,4093,12.05
1973,33019,32.646,4584,12.816
1974,33019,33.079,5008,12.959
1975,33019,33.857,5367,12.962
1976,33019,34.043,5933,13.156
1977,33019,34.504,6594,14.006
1978,33019,34.943,7467,14.881
1979,33019,35.441,8445,15.812
1980,33019,36.111,9313,16.123
1969,34000,7095,4581,3061.493
1970,34000,7190.282,4909,3124.572
1971,34000,7281.935,5229,3119.402
1972,34000,7336.538,5642,3184.143
1973,34000,7335.24,6143,3288.124
1974,34000,7335.227,6673,3300.54
1975,34000,7341.417,7203,3190.693
1976,34000,7344.079,7817,3248.286
1977,34000,7342.027,8554,3325.139
1978,34000,7356.414,9475,3464.561
1979,34000,7373.048,10493,3551.507
1980,34000,7376.33,11801,3600.866
1969,34001,174.603,3978,78.419
1970,34001,175.908,4450,79.885
1971,34001,179.824,4849,79.392
1972,34001,184.987,5214,82.297
1973,34001,187.199,5778,85.385
1974,34001,189.113,6206,84.867
1975,34001,189.544,6773,82.28
1976,34001,189.613,7499,84.161
1977,34001,189.311,8321,85.095
1978,34001,191.121,9312,90.253
1979,34001,193.082,10720,99.716
1980,34001,194.566,12264,109.41
1969,34003,893.713,5515,370.077
1970,34003,896.575,5906,384.906
1971,34003,893.789,6297,386.463
1972,34003,884.746,6855,398.926
1973,34003,879.576,7455,416.671
1974,34003,873.773,8106,423.2
1975,34003,871.592,8706,412.882
1976,34003,865.559,9450,424.273
1977,34003,859.951,10355,435.211
1978,34003,855.004,11552,456.686
1979,34003,851.298,12821,466.245
1980,34003,845.904,14485,470.876
1969,34005,313.161,4280,137.307
1970,34005,325.96,4499,137.254
1971,34005,337.155,4796,137.653
1972,34005,347.701,5176,139.518
1973,34005,340.323,5729,136.56
1974,34005,336.667,6341,132.274
1975,34005,344.486,6755,129.215
1976,34005,353.281,7405,134.365
1977,34005,357.501,8000,134.549
1978,34005,358.762,8921,136.883
1979,34005,361.911,9981,143.528
1980,34005,363.614,11241,145.171
1969,34007,451.124,4094,166.47
1970,34007,458.608,4354,171.965
1971,34007,468.196,4651,175.737
1972,34007,472.064,5016,177.453
1973,34007,471.847,5470,186.163
1974,34007,472.958,5939,188.68
1975,34007,474.108,6393,182.294
1976,34007,472.66,6912,184.062
1977,34007,471.6,7522,187.963
1978,34007,470.382,8391,197.88
1979,34007,473.135,9198,202.577
1980,34007,472.79,10357,205.214
1969,34009,58.999,3928,24.006
1970,34009,60.259,4337,25.672
1971,34009,63.485,4606,26.985
1972,34009,66.321,5036,28.236
1973,34009,68.194,5769,30.935
1974,34009,71.929,6144,30.751
1975,34009,74.014,6804,31.385
1976,34009,76.838,7398,32.553
1977,34009,78.248,8070,34.569
1978,34009,79.862,8900,36.393
1979,34009,81.725,9669,37.189
1980,34009,82.754,11061,38.264
1969,34011,120.722,3691,57.679
1970,34011,122.309,3961,58.153
1971,34011,126.773,4143,58.26
1972,34011,129.031,4473,60.73
1973,34011,130.746,4894,62.667
1974,34011,133.306,5202,61.865
1975,34011,134.35,5520,58.858
1976,34011,135.359,6016,60.95
1977,34011,135.184,6537,61.741
1978,34011,134.615,7240,62.802
1979,34011,133.966,7864,63.029
1980,34011,133.088,8716,64.876
1969,34013,925.274,4650,484.565
1970,34013,933.179,4990,486.904
1971,34013,943.413,5217,473.912
1972,34013,935.175,5586,470.271
1973,34013,923.206,5981,471.594
1974,34013,914.528,6448,462.321
1975,34013,905.741,6955,440.248
1976,34013,897.539,7456,438.146
1977,34013,879.368,8146,436.392
1978,34013,868.386,8922,438.985
1979,34013,858.841,9781,442.708
1980,34013,849.376,10985,443.861
1969,34015,170.093,3854,46.37
1970,34015,173.501,4019,48.219
1971,34015,176.037,4329,49.217
1972,34015,179.563,4674,52.084
1973,34015,180.996,5136,53.986
1974,34015,183.893,5624,56.061
1975,34015,182.895,6227,56.981
1976,34015,185.121,6787,60.416
1977,34015,187.444,7400,61.887
1978,34015,192.708,8095,66.46
1979,34015,196.728,8900,68.38
1980,34015,200.507,9882,70.324
1969,34017,611.436,3937,289.048
1970,34017,606.614,4261,287.7
1971,34017,604.501,4485,276.879
1972,34017,605.936,4722,272.693
1973,34017,596.986,5129,274.028
1974,34017,591.049,5618,271.887
1975,34017,584.592,6115,255.788
1976,34017,581.234,6515,253.333
1977,34017,571.757,7122,253.94
1978,34017,566.879,7746,258.1
1979,34017,558.771,8518,259.815
1980,34017,558.592,9372,258.755
1969,34019,68.6,4684,23.772
1970,34019,69.901,5001,24.814
1971,34019,70.775,5464,25.215
1972,34019,74.005,5869,26.634
1973,34019,76.237,6447,27.482
1974,34019,77.077,7195,28.277
1975,34019,78.734,7821,27.902
1976,34019,80.827,8499,29.445
1977,34019,82.993,9304,30.557
1978,34019,85.036,10431,32.181
1979,34019,87.388,11668,32.846
1980,34019,87.681,13206,33.612
1969,34021,305.795,4475,149.855
1970,34021,305.091,4924,153.757
1971,34021,308.68,5351,153.733
1972,34021,314.505,5842,161.814
1973,34021,315.209,6440,166.704
1974,34021,317.113,7011,169.496
1975,34021,315.506,7550,163.246
1976,34021,313.004,8298,166.848
1977,34021,311.427,9074,169.701
1978,34021,311.764,9923,175.837
1979,34021,309.998,10899,180.281
1980,34021,307.796,12173,182.263
1969,34023,572.957,4409,227.943
1970,34023,585.432,4795,238.261
1971,34023,592.647,5164,240.758
1972,34023,594.745,5653,249.459
1973,34023,594.391,6243,266.226
1974,34023,594.34,6875,275.413
1975,34023,588.224,7536,266.865
1976,34023,586.217,8181,272.591
1977,34023,586.812,9001,284.616
1978,34023,590.679,9919,303.562
1979,34023,594.566,10867,313.142
1980,34023,597.117,12072,319.767
1969,34025,450.967,4502,157.651
1970,34025,463.929,4783,159.792
1971,34025,472.513,5245,165.106
1972,34025,478.16,5692,168.154
1973,34025,480.882,6269,179.38
1974,34025,484.752,6739,179.419
1975,34025,491.362,7231,176.451
1976,34025,490.778,7869,179.556
1977,34025,492.553,8644,185.691
1978,34025,496.807,9723,198.285
1979,34025,499.816,11003,204.087
1980,34025,504.007,12453,209.643
1969,34027,376.544,5070,141.114
1970,34027,384.657,5374,145.835
1971,34027,390.006,5744,148.727
1972,34027,392.74,6274,154.413
1973,34027,396.303,6845,164.246
1974,34027,393.839,7471,166.945
1975,34027,394.506,8090,166.332
1976,34027,394.397,8912,172.709
1977,34027,399.198,9784,183.302
1978,34027,403.588,10903,198.909
1979,34027,406.191,12169,209.458
1980,34027,408.201,13799,217.211
1969,34029,199.21,3917,55.999
1970,34029,211.87,4215,61.083
1971,34029,225.757,4591,65.836
1972,34029,249.249,4864,72.982
1973,34029,268.705,5302,82.075
1974,34029,282.057,5691,81.501
1975,34029,293.486,6154,80.533
1976,34029,305.528,6792,87.31
1977,34029,319.184,7324,91.982
1978,34029,331.201,8053,97.388
1979,34029,341.856,8988,100.909
1980,34029,348.008,10322,103.146
1969,34031,460.958,4421,210.071
1970,34031,461.14,4754,211.492
1971,34031,463.92,5003,206.289
1972,34031,463.077,5389,210.635
1973,34031,461.609,5788,214.477
1974,34031,458.868,6232,213.444
1975,34031,455.311,6722,201.833
1976,34031,450.718,7300,202.485
1977,34031,453.311,7885,206.405
1978,34031,449.67,8740,214.296
1979,34031,449.914,9578,215.771
1980,34031,448.451,10758,216.442
1969,34033,59.364,4093,27.315
1970,34033,60.673,4349,28.009
1971,34033,62.456,4485,27.836
1972,34033,62.387,4876,28.263
1973,34033,62.702,5377,29.022
1974,34033,62.487,5989,29.738
1975,34033,63.902,6190,28.154
1976,34033,64.498,6782,28.596
1977,34033,65.16,7403,29.631
1978,34033,65.316,8193,30.692
1979,34033,65.38,8848,30.182
1980,34033,64.647,9643,29.679
1969,34035,195.059,5182,73.524
1970,34035,198.847,5388,74.529
1971,34035,200.04,5791,76.334
1972,34035,200.352,6306,81.045
1973,34035,197.824,6911,82.639
1974,34035,197.679,7621,88.243
1975,34035,199.171,8275,89.249
1976,34035,199.601,9080,91.296
1977,34035,199.573,10373,99.636
1978,34035,200.807,11635,105.275
1979,34035,202.838,13002,111.256
1980,34035,203.66,14610,111.97
1969,34037,75.367,4248,20.241
1970,34037,78.299,4461,21.601
1971,34037,81.705,4829,22.691
1972,34037,86.03,5281,25.201
1973,34037,92.375,5617,27.374
1974,34037,95.974,6066,27.77
1975,34037,99.872,6461,27.19
1976,34037,102.97,7042,28.259
1977,34037,106.847,7603,29.156
1978,34037,110.949,8480,30.528
1979,34037,115.122,9427,31.486
1980,34037,116.587,11040,32.085
1969,34039,538.294,5240,289.017
1970,34039,543.4,5602,293.387
1971,34039,545.556,5920,291.375
1972,34039,539.697,6370,290.621
1973,34039,533.054,6841,296.973
1974,34039,525.504,7387,293.532
1975,34039,521.181,7947,278.939
1976,34039,518.377,8567,282.867
1977,34039,513.962,9400,288.652
1978,34039,510.91,10425,297.21
1979,34039,508.309,11575,302.552
1980,34039,504.395,13047,301.685
1969,34041,72.76,3893,31.05
1970,34041,74.13,4181,31.354
1971,34041,74.707,4459,31.004
1972,34041,76.067,4930,32.714
1973,34041,76.876,5474,33.537
1974,34041,78.321,6064,34.856
1975,34041,78.84,6549,34.068
1976,34041,79.96,7112,34.065
1977,34041,80.643,7757,34.463
1978,34041,81.968,8585,35.956
1979,34041,82.213,9635,36.35
1980,34041,84.589,10583,36.612
1969,35000,1011,3109,394.799
1970,35000,1023.206,3420,398.899
1971,35000,1053.258,3677,416.073
1972,35000,1077.815,4039,440.381
1973,35000,1104.225,4421,460.68
1974,35000,1129.568,4858,478.009
1975,35000,1162.682,5391,490.785
1976,35000,1195.162,5846,512.389
1977,35000,1225.245,6382,538.969
1978,35000,1251.848,7148,568.233
1979,35000,1280.539,7878,592.146
1980,35000,1309.4,8647,597.041
1969,35001,314.7,3500,134.349
1970,35001,318.277,3934,138.485
1971,35001,331.206,4263,148.062
1972,35001,339.666,4764,160.652
1973,35001,353.816,5081,169.472
1974,35001,365.412,5502,175.014
1975,35001,371.719,6084,180.026
1976,35001,380.717,6664,189.982
1977,35001,392.444,7175,199.551
1978,35001,399.597,8123,213.84
1979,35001,410.992,8913,221.947
1980,35001,422.295,9726,223.093
1969,35003,2.2,2647,1.016
1970,35003,2.179,2713,0.919
1971,35003,2.082,3373,0.976
1972,35003,2.251,3487,1.064
1973,35003,2.363,3984,0.996
1974,35003,2.441,4687,0.953
1975,35003,2.357,5278,0.973
1976,35003,2.457,5434,1.014
1977,35003,2.576,5738,1.045
1978,35003,2.712,6281,1.036
1979,35003,2.745,7374,1.116
1980,35003,2.715,7670,1.059
1969,35005,43.3,2986,17.107
1970,35005,43.771,3193,17.142
1971,35005,45.341,3467,17.593
1972,35005,45.906,3702,18.44
1973,35005,45.199,4219,18.915
1974,35005,45.571,4702,19.59
1975,35005,46.705,5268,20.02
1976,35005,47.497,5695,20.439
1977,35005,48.421,6171,20.918
1978,35005,48.597,6671,21.513
1979,35005,49.397,7643,22.668
1980,35005,51.184,8197,23.034
1969,35006,,,
1970,35006,,,
1971,35006,,,
1972,35006,,,
1973,35006,,,
1974,35006,,,
1975,35006,,,
1976,35006,,,
1977,35006,,,
1978,35006,,,
1979,35006,,,
1980,35006,,,
1969,35007,12.1,2885,5.239
1970,35007,12.142,3109,4.926
1971,35007,12.09,3264,4.904
1972,35007,12.355,3631,5.204
1973,35007,12.573,4007,5.294
1974,35007,12.887,4436,5.552
1975,35007,13.194,4932,5.726
1976,35007,13.512,5274,5.847
1977,35007,13.321,5756,5.859
1978,35007,13.187,6739,6.118
1979,35007,13.439,7942,6.73
1980,35007,13.714,8807,6.661
1969,35009,38,3694,17.59
1970,35009,39.834,4323,18.595
1971,35009,41.293,4259,18.592
1972,35009,42.063,4588,19.26
1973,35009,42.703,5394,20.438
1974,35009,43.062,5521,20.343
1975,35009,43.927,6052,19.832
1976,35009,41.73,6326,19.875
1977,35009,42.017,6804,19.895
1978,35009,43.693,7380,20.51
1979,35009,42.876,8428,20.482
1980,35009,42.037,9362,20.279
1969,35011,2.5,2652,1.076
1970,35011,2.558,2901,1.06
1971,35011,2.591,3058,1.029
1972,35011,2.427,3960,1.062
1973,35011,2.501,4487,0.995
1974,35011,2.52,4143,1.047
1975,35011,2.47,4396,0.995
1976,35011,2.387,4507,1.016
1977,35011,2.36,4996,1.018
1978,35011,2.492,5942,1.029
1979,35011,2.395,6651,1.03
1980,35011,2.433,6673,1.03
1969,35013,69,3082,26.608
1970,35013,70.254,3255,27.08
1971,35013,72.726,3554,28.316
1972,35013,76.553,3684,29.477
1973,35013,76.909,4049,30.621
1974,35013,78.888,4548,31.045
1975,35013,81.979,4787,31.211
1976,35013,85.259,5211,32.448
1977,35013,88.302,5604,35.175
1978,35013,92.193,6164,37.771
1979,35013,93.741,6630,39.643
1980,35013,97.012,7242,39.628
1969,35015,41,3126,16.286
1970,35015,41.013,3330,16.188
1971,35015,40.6,3587,16.189
1972,35015,40.987,3772,16.32
1973,35015,40.936,4200,16.691
1974,35015,41.086,4716,17.341
1975,35015,42.695,5517,18.757
1976,35015,45.008,5782,19.252
1977,35015,45.644,6428,20.271
1978,35015,46.575,6881,20.284
1979,35015,47.327,7539,20.911
1980,35015,48.238,8638,21.65
1969,35017,22.1,3217,9.095
1970,35017,22.135,3356,8.352
1971,35017,22.619,3649,8.629
1972,35017,22.9,4061,8.959
1973,35017,23.548,4198,8.937
1974,35017,23.809,4751,9.314
1975,35017,24.73,4888,9.022
1976,35017,24.453,5757,9.313
1977,35017,25.099,6394,9.741
1978,35017,25.309,6508,9.221
1979,35017,25.244,7721,10.122
1980,35017,26.361,8366,10.405
1969,35019,5,2309,1.785
1970,35019,4.957,2740,1.815
1971,35019,4.86,2765,1.913
1972,35019,5.074,3012,1.803
1973,35019,4.883,3105,1.816
1974,35019,4.823,3182,1.714
1975,35019,4.776,3690,1.742
1976,35019,4.821,3779,1.844
1977,35019,4.775,3997,1.85
1978,35019,4.627,5147,1.926
1979,35019,4.649,6083,2.007
1980,35019,4.481,6288,1.86
1969,35021,1.4,2792,0.733
1970,35021,1.359,3304,0.663
1971,35021,1.393,2703,0.655
1972,35021,1.291,3273,0.642
1973,35021,1.227,3931,0.631
1974,35021,1.208,3701,0.641
1975,35021,1.196,4263,0.621
1976,35021,1.224,4289,0.615
1977,35021,1.16,4645,0.603
1978,35021,1.124,6510,0.603
1979,35021,1.1,8118,0.621
1980,35021,1.081,7472,0.569
1969,35023,4.8,2597,1.909
1970,35023,4.689,2849,1.839
1971,35023,4.541,3109,1.902
1972,35023,4.715,3620,2.099
1973,35023,5.104,4155,2.339
1974,35023,5.471,5780,2.958
1975,35023,5.968,5142,3.224
1976,35023,6.361,5069,3.043
1977,35023,6.369,5921,2.703
1978,35023,6.295,6382,2.468
1979,35023,6.08,7591,2.494
1980,35023,6.07,7998,2.483
1969,35025,49.7,3329,21.72
1970,35025,49.647,3463,21.059
1971,35025,50.023,3706,21.331
1972,35025,49.715,3984,21.423
1973,35025,48.901,4498,21.966
1974,35025,49.473,5267,23.654
1975,35025,51.608,5823,24.292
1976,35025,53.084,6105,24.257
1977,35025,52.877,6906,25.463
1978,35025,53.936,7717,26.577
1979,35025,55.374,8572,27.725
1980,35025,56.747,9984,29.723
1969,35027,7.6,2832,3.183
1970,35027,7.611,3279,3.166
1971,35027,7.831,3484,3.367
1972,35027,8.156,4079,3.724
1973,35027,8.395,4590,4.011
1974,35027,9.107,4547,4.178
1975,35027,9.474,5167,4.38
1976,35027,9.768,5596,4.664
1977,35027,10.042,6078,5.07
1978,35027,10.216,7010,5.376
1979,35027,10.52,7933,5.769
1980,35027,11.041,8143,5.971
1969,35028,15.1,5147,8.751
1970,35028,15.266,5621,8.721
1971,35028,15.48,6006,8.922
1972,35028,15.043,6753,9.576
1973,35028,15.317,7095,9.996
1974,35028,15.051,8126,10.41
1975,35028,15.674,9065,10.938
1976,35028,15.979,10337,11.621
1977,35028,16.299,11058,12.313
1978,35028,16.825,11903,12.793
1979,35028,17.673,12852,14.117
1980,35028,17.592,14282,14.119
1969,35029,11.4,2904,4.348
1970,35029,11.791,2902,4.395
1971,35029,12.279,3254,4.459
1972,35029,12.809,3470,4.78
1973,35029,13.488,3705,4.859
1974,35029,14.026,3799,4.853
1975,35029,14.845,4179,5.01
1976,35029,15.292,4449,5.14
1977,35029,15.198,5131,5.258
1978,35029,15.229,5731,5.483
1979,35029,15.541,5808,5.31
1980,35029,15.614,6357,5.115
1969,35031,43,2291,13.617
1970,35031,43.528,2463,13.913
1971,35031,44.558,2632,14.189
1972,35031,46.499,2910,14.663
1973,35031,46.824,3141,14.786
1974,35031,47.291,3702,16.433
1975,35031,49.473,4230,17.851
1976,35031,52.76,4437,19.432
